n,adhesivity,Optimal Time,Optimal Retained,Optimal Score,particle_size
0.022,0.55,0.9999999999999999,0.0,0.021999999999999995,0.06
0.023,0.55,0.9999999999999999,0.0,0.022999999999999996,0.06
0.024,0.55,0.9999999999999999,0.0,0.023999999999999997,0.06
0.025,0.55,0.9999999999999999,0.0,0.024999999999999998,0.06
0.026000000000000002,0.55,0.9999999999999999,0.0,0.026,0.06
0.027,0.55,0.9999999999999999,0.0,0.026999999999999996,0.06
0.028,0.55,0.9999999999999999,0.0,0.027999999999999997,0.06
0.029,0.55,0.9999999999999999,0.0,0.028999999999999998,0.06
0.03,0.55,0.9999999999999999,0.0,0.029999999999999995,0.06
0.031,0.55,0.9999999999999999,0.0,0.030999999999999996,0.06
0.032,0.55,0.9999999999999999,0.0,0.031999999999999994,0.06
0.033,0.55,0.9999999999999999,0.0,0.032999999999999995,0.06
0.034,0.55,0.9999999999999999,0.0,0.033999999999999996,0.06
0.035,0.55,0.9999999999999999,0.0,0.034999999999999996,0.06
0.036000000000000004,0.55,0.9999999999999999,0.0,0.036,0.06
0.037,0.55,0.9999999999999999,0.0,0.03699999999999999,0.06
0.038,0.55,0.9999999999999999,0.0,0.03799999999999999,0.06
0.039,0.55,0.9999999999999999,0.0,0.03899999999999999,0.06
0.04,0.55,0.9999999999999999,0.0,0.039999999999999994,0.06
0.041,0.55,0.9999999999999999,0.0,0.040999999999999995,0.06
0.042,0.55,0.9999999999999999,0.0,0.041999999999999996,0.06
0.043000000000000003,0.55,0.9999999999999999,0.0,0.043,0.06
0.044,0.55,0.9999999999999999,0.0,0.04399999999999999,0.06
0.045,0.55,0.9999999999999999,0.0,0.04499999999999999,0.06
0.046,0.55,0.9999999999999999,0.0,0.04599999999999999,0.06
0.047,0.55,0.9999999999999999,0.0,0.04699999999999999,0.06
0.048,0.55,0.9999999999999999,0.0,0.047999999999999994,0.06
0.049,0.55,0.9999999999999999,0.0,0.048999999999999995,0.06
0.05,0.55,0.9999999999999999,0.0,0.049999999999999996,0.06
0.051000000000000004,0.55,0.9999999999999999,0.0,0.051,0.06
0.052000000000000005,0.55,0.9999999999999999,0.0,0.052,0.06
0.053,0.55,0.9999999999999999,0.0,0.05299999999999999,0.06
0.054,0.55,0.9999999999999999,0.0,0.05399999999999999,0.06
0.055,0.55,0.9999999999999999,0.0,0.05499999999999999,0.06
0.056,0.55,0.9999999999999999,0.0,0.055999999999999994,0.06
0.057,0.55,0.9999999999999999,0.0,0.056999999999999995,0.06
0.058,0.55,0.9999999999999999,0.0,0.057999999999999996,0.06
0.059000000000000004,0.55,0.9999999999999999,0.0,0.059,0.06
0.06,0.55,0.9999999999999999,0.0,0.05999999999999999,0.06
0.061,0.55,0.9999999999999999,0.0,0.06099999999999999,0.06
0.062,0.55,0.9999999999999999,0.0,0.06199999999999999,0.06
0.063,0.55,0.9999999999999999,0.0,0.06299999999999999,0.06
0.064,0.55,0.9999999999999999,0.0,0.06399999999999999,0.06
0.065,0.55,0.9999999999999999,0.0,0.06499999999999999,0.06
0.066,0.55,0.9999999999999999,0.0,0.06599999999999999,0.06
0.067,0.55,0.9999999999999999,0.0,0.06699999999999999,0.06
0.068,0.55,0.9999999999999999,0.0,0.06799999999999999,0.06
0.069,0.55,0.9999999999999999,0.0,0.06899999999999999,0.06
0.07,0.55,0.9999999999999999,0.0,0.06999999999999999,0.06
0.07100000000000001,0.55,0.9999999999999999,0.0,0.071,0.06
0.07200000000000001,0.55,0.9999999999999999,0.0,0.072,0.06
0.073,0.55,0.9999999999999999,0.0,0.07299999999999998,0.06
0.074,0.55,0.9999999999999999,0.0,0.07399999999999998,0.06
0.075,0.55,0.9999999999999999,0.0,0.07499999999999998,0.06
0.076,0.55,0.9999999999999999,0.0,0.07599999999999998,0.06
0.077,0.55,0.9999999999999999,0.0,0.07699999999999999,0.06
0.078,0.55,0.9999999999999999,0.0,0.07799999999999999,0.06
0.079,0.55,0.9999999999999999,0.0,0.07899999999999999,0.06
0.08,0.55,0.9999999999999999,0.0,0.07999999999999999,0.06
0.081,0.55,0.9999999999999999,0.0,0.08099999999999999,0.06
0.082,0.55,0.9999999999999999,0.0,0.08199999999999999,0.06
0.083,0.55,0.9999999999999999,0.0,0.08299999999999999,0.06
0.084,0.55,0.9999999999999999,0.0,0.08399999999999999,0.06
0.085,0.55,0.9999999999999999,0.0,0.08499999999999999,0.06
0.08600000000000001,0.55,0.9999999999999999,0.0,0.086,0.06
0.08700000000000001,0.55,0.9999999999999999,0.0,0.087,0.06
0.088,0.55,0.9999999999999999,0.0,0.08799999999999998,0.06
0.089,0.55,0.9999999999999999,0.0,0.08899999999999998,0.06
0.09,0.55,0.9999999999999999,0.0,0.08999999999999998,0.06
0.091,0.55,0.9999999999999999,0.0,0.09099999999999998,0.06
0.092,0.55,0.9999999999999999,0.0,0.09199999999999998,0.06
0.093,0.55,0.9999999999999999,0.0,0.09299999999999999,0.06
0.094,0.55,0.9999999999999999,0.0,0.09399999999999999,0.06
0.095,0.55,0.9999999999999999,0.0,0.09499999999999999,0.06
0.096,0.55,0.9999999999999999,0.0,0.09599999999999999,0.06
